EN,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
Always use the model at the top of the models list. This is the latest release.,始终使用模型列表中最上面的模型。这是最新版本。,始終使用模型清單中最上面的模型。這是最新版本。,Verwenden Sie immer das Modell ganz oben in der Modellliste. Dies ist die neueste Version.,Utilice siempre el modelo que aparece en la parte superior de la lista de modelos. Esta es la última versión.,Utilisez toujours le modèle en haut de la liste. Il s'agit de la dernière version.,Mindig a modellek listájának tetején található modellt használd. Ez a legújabb kiadás.,モデル一覧の一番上にあるモデルを必ず使用してください。これが最新版です。,모델 목록의 맨 위에 있는 모델을 항상 사용하십시오. 이것이 최신 버전입니다.,"Всегда используйте модель, находящуюся вверху списка моделей. Это последняя версия.",Utilize sempre o modelo que estiver no topo da lista de modelos. Esta é a versão mais recente.,"Завжди використовуйте модель, яка знаходиться у верхній частині списку моделей. Це найновіший реліз.",Utilizzare sempre il modello in cima all'elenco dei modelli. Si tratta dell'ultima versione.,ควรใช้รุ่นที่อยู่ด้านบนสุดของรายการรุ่นเสมอ นี่คือรุ่นล่าสุด,"Lütfen her zaman modeller listesinin en üstündeki modeli kullanın. Bu, en son sürümdür.",Använd alltid modellen högst upp i modellistan. Detta är den senaste utgåvan.,Vždy používajte model na začiatku zoznamu modelov. Toto je najnovšia verzia.
"The model is called ""CoffeeBean"" and is the only model where the icon shows it awake.",该型号名为“CoffeeBean”，是唯一一款图标显示其处于唤醒状态的型号。,此型號名為“CoffeeBean”，是唯一一款圖示顯示其處於喚醒狀態的型號。,"Das Modell heißt ""CoffeeBean"" und ist das einzige Modell, bei dem das Symbol es im wachen Zustand anzeigt.","El modelo se llama ""CoffeeBean"" y es el único modelo cuyo icono lo muestra despierto.",Ce modèle s'appelle « CoffeeBean » et c'est le seul dont l'icône le représente en état de veille.,"A modell neve ""CoffeeBean"", és ez az egyetlen modell, ahol az ikon ébrenlétet mutat.",このモデルは「コーヒービーン」と呼ばれ、アイコンが起動状態を示す唯一のモデルです。,"이 모델은 ""커피빈""이라고 불리며, 아이콘이 깨어있는 모습을 보여주는 유일한 모델입니다.","Эта модель называется ""CoffeeBean"" и является единственной моделью, у которой на иконке отображается состояние ""включено"".","O modelo chama-se ""CoffeeBean"" e é o único modelo em que o ícone o mostra em funcionamento.","Модель називається «CoffeeBean» і є єдиною моделлю, де значок показує, що вона активна.","Il modello si chiama ""CoffeeBean"" ed è l'unico modello la cui icona lo mostra attivo.","โมเดลนี้ชื่อว่า ""CoffeeBean"" และเป็นโมเดลเดียวที่ไอคอนแสดงว่าเครื่องกำลังตื่นอยู่","Modelin adı ""CoffeeBean"" ve simgesi uyanık halde gösteren tek model bu.","Modellen heter ""CoffeeBean"" och är den enda modellen där ikonen visar den vaken.","Model sa volá „CoffeeBean“ a je to jediný model, kde ikona zobrazuje, že je v prebudenom stave."
Emotelab Website,Emotelab 网站,Emotelab 網站,Emotelab-Website,Sitio web de Emotelab,Site Web Emotelab,Emotelab weboldal,Emotelabのウェブサイト,이모트랩 웹사이트,Веб-сайт Emotelab,Site da Emotelab,Вебсайт Emotelab,Sito web di Emotelab,เว็บไซต์ Emotelab,Emotelab Web Sitesi,Emotelabs webbplats,Webová stránka Emotelabu
Emotelab on Steam,Steam上的Emotelab,Steam上的Emotelab,Emotelab auf Steam,Emotelab en Steam,Emotelab sur Steam,Emotelab a Steamen,Steam版Emotelab,Steam의 Emotelab,Emotelab в Steam,Emotelab no Steam,Emotelab у Steam,Emotelab su Steam,อีโมตแล็บบน Steam,Emotelab Steam'de,Emotelab på Steam,Emotelab na Steame
Textures,纹理,紋理,Texturen,Texturas,Textures,Textúrák,テクスチャ,질감,Текстуры,Texturas,Текстури,Texture,พื้นผิว,Dokular,Texturer,Textúry
In App Name,在应用名称中,在應用程式名稱中,Name der App,En el nombre de la aplicación,Nom de l'application,Alkalmazáson belüli név,アプリ名,앱 이름,В названии приложения,Nome do aplicativo,Назва програми,Nome nell'app,ในชื่อแอป,Uygulama Adında,Namn i appen,Názov aplikácie
File Name,文件名,檔案名稱,Dateiname,Nombre del archivo,Nom de fichier,Fájlnév,ファイル名,파일 이름,Имя файла,Nome do arquivo,Ім'я файлу,Nome del file,ชื่อไฟล์,Dosya adı,Filnamn,Názov súboru
Regions (Testing),区域（测试）,區域（測試）,Regionen (Test),Regiones (Pruebas),Régions (Tests),Régiók (tesztelés),地域（テスト）,지역(테스트),Регионы (тестирование),Regiões (em teste),Регіони (тестування),Regioni (Test),ภูมิภาค (การทดสอบ),Bölgeler (Test),Regioner (testning),Regióny (testovanie)
Search,搜索,搜尋,Suchen,Buscar,Recherche,Keresés,検索,찾다,Поиск,Procurar,Пошук,Ricerca,ค้นหา,Aramak,Söka,Hľadať
Filter,筛选,篩選,Filter,Filtrar,Filtre,Szűrő,フィルター,필터,Фильтр,Filtro,Фільтр,Filtro,กรอง,Filtrele,Filtrera,Filter
Click on an Item to Open,点击项目即可打开,點擊項目即可打開,"Klicken Sie auf ein Element, um es zu öffnen.",Haz clic en un elemento para abrirlo.,Cliquez sur un élément pour l'ouvrir,Kattintson egy elemre a megnyitáshoz,アイテムをクリックして開きます,항목을 클릭하여 여세요,"Нажмите на элемент, чтобы открыть его.",Clique em um item para abri-lo.,"Натисніть на елемент, щоб відкрити",Fai clic su un elemento per aprirlo,คลิกที่รายการเพื่อเปิด,Açmak için bir öğeye tıklayın.,Klicka på ett objekt för att öppna,Kliknite na položku pre otvorenie
